Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,OG0000264,OG0000282,OG0003351,OG0004409,OG0004717,OG0007747,OG0008243,OG0008312,OG0008607,OG0009194,OG0009245,OG0009741,OG0010802,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
197,5580-W1_S10,5580.0,DRR165471,-,Araneus,Araneidae,8.387781874294147,12.377734456251114,8.97490714448154,9.284382261426115,8.204957734719352,8.218025530796929,7.642581727295592,2.874242203488244,10.708454543088038,8.231091548377853,9.785262820991948,5.252370241037666,9.59021088972183,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,,0.074,0.04,4.29,0.66,0.74,0.15,20.3,6.8,,,,9.0,60.8,7.8,0.96,0.04,,,
198,5595-W1_S11,5595.0,DRR165472,-,Araneus,Araneidae,10.699362835204074,10.919317301768956,2.95150760141903,9.887075881673395,10.154243447643891,7.37918772810445,7.663704678856726,3.3161500877538024,9.534106359024033,7.7115231270308895,8.503197651387202,4.521835962545389,0.0,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,8.0,0.194,0.068,6.57,1.02,1.66,0.18,27.4,7.2,,,,,44.7,5.9,0.58,0.03,,,
199,5602-W1_S12,5602.0,DRR165473,-,Araneus,Araneidae,9.189245126366307,13.364217771769983,5.66141043085683,8.571635099828857,8.265107025261564,7.054056166075188,0.0,4.703823859746697,0.0,11.97642837123893,10.245850959159977,5.973299009828202,0.0,Araneidae,Araneus,sp. (OTU0080),2507252.0,,Unknown,Unknown,2017-06-11,China,,0.157,0.084,5.86,1.94,1.79,0.41,20.3,5.4,,,,,53.4,7.1,0.43,0.02,,,
203,5654-W1_S1,5654.0,DRR297177,sakiedaorum,Eriovixia,Araneidae,9.146572112240099,9.865923530143652,9.092860688886253,11.223138935557603,3.644336238808603,0.0,12.200638660559324,4.897701723755033,9.338587092119775,0.0,0.0,6.840576530078458,0.0,Araneidae,Eriovixia,sakiedaorum,2337407.0,urn:lsid:nmbe.ch:spidersp:015903,Unknown,Male,2017-06-27,Japan,3.0,0.118,0.032,6.53,1.26,1.16,0.14,18.9,3.8,,,,,43.7,6.8,0.54,0.02,,,
209,5803-W1_S1,5803.0,DRR297218,nagasakiensis,Cyrtarachne,Araneidae,11.793639140502545,14.570632917789426,0.0,10.535970667777244,6.251539217838094,8.757366672689654,4.7535082678296625,6.201520166047947,7.850768175060415,0.0,0.0,0.0,8.609921137881912,Araneidae,Cyrtarachne,nagasakiensis,386110.0,urn:lsid:nmbe.ch:spidersp:015776,Unknown,Female,2017-07-11,Japan,5.0,0.157,0.034,9.52,1.63,1.53,0.07,19.2,4.0,205.0,275.0,295.0,,69.4,11.4,0.33,0.03,5.8,,
212,5816-W1_S6,5816.0,DRR296473,argiopiformis,Larinia,Araneidae,8.18056183645347,11.717163241254692,0.0,10.120756272978472,3.9912451849018495,9.337708862442094,9.382262086259475,5.006080301469178,0.0,0.0,6.416371938400874,4.809782274286034,9.52290318402459,Araneidae,Larinia,argiopiformis,1112526.0,urn:lsid:nmbe.ch:spidersp:016286,Unknown,Female,2017-07-11,Japan,12.0,0.286,0.117,9.92,1.15,2.45,0.52,27.2,5.5,212.0,276.0,297.0,8.0,43.1,3.7,0.56,0.03,7.1,,
218,5926-W1_S3,5926.0,DRR297573,x-notata,Zygiella,Araneidae,3.7391352179700448,8.002242942516657,0.0,10.928111195036076,6.459539816707987,8.247732926319236,0.0,0.0,11.362256177664346,0.0,0.0,0.0,0.0,Araneidae,Zygiella,x-notata,389061.0,urn:lsid:nmbe.ch:spidersp:017187,Unknown,Unknown,2017-07-22,United Kingdom,6.0,0.079,0.028,5.87,1.45,0.75,0.12,14.7,4.8,,,,,67.3,11.9,0.57,0.03,,,
223,5996-W1_S18,5996.0,DRR296736,umbratica,Nuctenea,Araneidae,7.836240513092706,11.327172609489205,12.222988252697679,9.236117066982954,7.596909060371288,8.747206111428843,9.651892838587916,2.605304680238342,8.990140846445103,8.04166462675032,7.625753912884023,6.136667174021935,0.0,Araneidae,Nuctenea,umbratica,1872065.0,urn:lsid:nmbe.ch:spidersp:016784,Unknown,Female,2017-07-23,United Kingdom,,0.216,0.069,28.6,1.7,2.21,0.36,15.5,4.8,222.0,277.0,299.0,34.0,38.3,6.3,0.43,0.04,6.6,,
224,6019-W1_S22,6019.0,DRR297274,cornutus,Larinioides,Araneidae,6.377818547020487,13.32424871713152,7.155700565991239,10.701793776619866,4.179455315942826,7.575161033425394,9.408384453859709,3.899471487999185,9.051358505691935,9.07392758542713,0.0,6.359524684392141,0.0,Araneidae,Larinioides,cornutus,336591.0,urn:lsid:nmbe.ch:spidersp:016288,Unknown,Female,2017-07-24,United Kingdom,,0.102,0.038,10.7,1.46,1.25,0.2,15.2,3.6,230.0,283.0,298.0,24.0,44.0,7.3,1.74,0.19,6.6,47.3,3.5
226,6054-W1_S3,6054.0,DRR296675,diadematus,Araneus,Araneidae,6.2968938208493315,11.296330689910102,7.084255285891068,9.564831607205385,7.260748855213045,8.886208698358665,6.471496390403289,6.1357203659597666,9.753977181693909,7.876917162183043,6.468172735608889,6.576138738843046,0.0,Araneidae,Araneus,diadematus,45920.0,urn:lsid:nmbe.ch:spidersp:014834,Unknown,Female,2017-07-25,United Kingdom,11.0,0.082,0.02,6.0,1.22,1.08,0.11,17.8,1.3,240.0,283.0,299.0,13.0,37.6,4.8,1.39,0.04,10.6,38.9,5.1
230,6129-W1_S14,6129.0,DRR296917,dispar,Zygiella,Araneidae,2.8371661968765722,8.43885005812044,0.0,10.164628942326889,6.051487390897812,11.066093712330664,0.0,0.0,8.031410084578614,0.0,0.0,0.0,0.0,Araneidae,Zygiella,dispar,2175612.0,urn:lsid:nmbe.ch:spidersp:017170,Unknown,Female,2017-08-07,Japan,5.0,0.102,0.04,10.4,1.82,1.63,0.18,13.2,2.3,,,,,60.0,12.2,0.36,0.03,,,
233,6323-W1_S17,6323.0,DRR296776,omonaga,Cyclosa,Araneidae,7.554427460327789,12.26950399276431,0.0,10.50391515847082,6.135473306017037,9.148824058236523,0.0,4.78409142623606,8.324171543813485,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,omonaga,1933405.0,urn:lsid:nmbe.ch:spidersp:015675,Unknown,Female,2017-09-12,Japan,7.0,0.153,0.073,5.35,0.98,1.33,0.47,27.1,5.8,,,,,41.6,4.6,0.62,0.05,,,
234,6327-W1_S18,6327.0,DRR296520,japonica,Cyclosa,Araneidae,8.341548221679336,13.400835447818437,0.0,9.499634648312124,4.86883489863698,8.681902496093455,0.0,5.077035724832934,8.442665708854756,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,japonica,1112403.0,urn:lsid:nmbe.ch:spidersp:015637,Unknown,Female,2017-09-12,Japan,7.0,0.143,0.062,17.3,4.1,2.42,0.59,12.3,2.8,212.0,276.0,297.0,25.0,50.4,10.6,0.54,0.04,6.5,,
237,65-W8_S10,65.0,DRR297546,aemula,Argiope,Araneidae,3.9928200841264734,9.79618877156628,0.0,10.476543706214256,7.922099111765421,9.371860503313524,0.0,2.7980463661057886,0.0,0.0,0.0,0.0,8.952680102407712,Araneidae,Argiope,aemula,332528.0,urn:lsid:nmbe.ch:spidersp:015339,Unknown,Female,2014-12-08,Japan,,0.245,0.094,6.5,1.4,1.74,0.8,32.7,7.4,,,,,37.2,17.1,1.89,0.18,,,
240,6677-W1_S2,6677.0,DRR297741,brouni,Backobourkia,Araneidae,7.37793122058808,10.918169860928046,5.7500356377385184,9.074208376555115,7.626709397669174,9.218480897908854,11.512546411714188,5.738254426997583,8.624193546489554,0.0,8.220879403660595,0.0,0.0,Araneidae,Backobourkia,brouni,2337322.0,urn:lsid:nmbe.ch:spidersp:043116,Unknown,Unknown,2017-10-29,Australia,8.0,0.212,0.104,5.77,1.65,1.6,0.5,25.6,5.3,,,,,80.0,13.5,0.64,0.05,,,
241,6700-W1_S10,6700.0,DRR297964,-,Eriophora,Araneidae,8.66912398394427,14.475409370738397,8.058264536850592,10.125875678806189,8.104444648207089,8.640783586433246,5.317919051024281,3.8293624919667053,0.0,0.0,7.223591292136065,0.0,0.0,Araneidae,Eriophora,sp. (OTU0926),2337405.0,,Unknown,Female,2017-10-30,Australia,15.0,0.154,0.032,5.76,0.17,1.04,0.29,24.0,8.8,217.0,276.0,298.0,16.0,50.8,8.2,0.42,0.02,5.4,45.7,5.6
243,6713-W1_S13,6713.0,DRR297419,transmarina,Eriophora,Araneidae,9.047478853244405,12.243927181339963,1.6366872567977526,10.731762888490312,5.263938812309532,9.435568174932015,6.325103935987688,0.0,10.496253301606998,0.0,8.004132918623004,0.0,0.0,Araneidae,Eriophora,transmarina,2115798.0,urn:lsid:nmbe.ch:spidersp:015889,Unknown,Male,2017-10-30,Australia,12.0,0.273,0.072,13.7,1.31,1.93,0.36,25.6,3.0,223.0,285.0,302.0,19.0,78.7,2.9,1.43,0.03,3.4,39.9,7.1
245,6727-W1_S17,6727.0,DRR296458,keyserlingi,Argiope,Araneidae,7.2480732942083925,10.562421643139452,4.116556060808434,10.613846848897293,8.622442173102176,7.666564882464338,0.0,5.426780342160815,0.0,0.0,0.0,0.0,0.0,Araneidae,Argiope,keyserlingi,332532.0,urn:lsid:nmbe.ch:spidersp:015377,Unknown,Female,2017-10-30,Australia,10.0,0.368,0.122,31.7,9.7,2.45,0.43,22.4,6.9,216.0,274.0,297.0,20.0,42.7,6.6,0.43,0.03,7.4,,
246,6748-W1_S21,6748.0,DRR297943,australasia,Poecilopachys,Araneidae,10.45566469953977,13.563877163933872,4.937250218382068,9.36235001716884,5.246703361044281,8.549811615969123,4.016540890853793,4.943528492554401,7.670486302024519,0.0,0.0,0.0,9.33315758704538,Araneidae,Poecilopachys,australasia,386120.0,urn:lsid:nmbe.ch:spidersp:016935,Unknown,Female,2017-10-30,Australia,7.0,0.123,0.003,7.89,1.14,0.95,0.05,23.7,0.8,208.0,268.0,292.0,19.0,51.2,4.2,1.49,0.03,9.4,43.0,6.7
247,6755-W1_S22,6755.0,DRR297580,plumipes,Trichonephila,Araneidae,14.972568886050336,5.305441630368002,4.643711913570922,9.152824877115618,0.0,9.65202213339526,0.0,0.0,7.966907637387431,0.0,0.0,0.0,10.36728369048326,Araneidae,Trichonephila,plumipes,941800.0,urn:lsid:nmbe.ch:spidersp:013971,Unknown,Female,2017-10-31,Australia,16.0,0.135,0.069,7.81,1.38,0.81,0.22,28.2,7.6,233.0,285.0,304.0,19.0,31.9,2.7,1.25,0.04,8.2,8.9,1.1
248,6762-W1_S23,6762.0,DRR296859,plumipes,Trichonephila,Araneidae,13.937890661752025,6.157562590782714,5.1382205944705746,10.043401624643803,0.0,9.336479780999483,2.686603613165248,0.0,9.801821507031566,1.2004465992908906,0.0,0.0,0.0,Araneidae,Trichonephila,plumipes,941800.0,urn:lsid:nmbe.ch:spidersp:013971,Unknown,Female,2017-10-31,Australia,10.0,0.136,0.019,12.1,3.35,1.44,0.06,18.1,4.1,208.0,268.0,297.0,21.0,48.8,0.0,0.46,0.03,9.0,40.3,5.4
249,6767-W1_S24,6767.0,DRR297150,-,Arkys,Araneidae,0.0,4.216010890671061,6.972174615109458,8.689984243045386,8.402172160480177,0.0,0.0,0.0,5.953987337164624,0.0,0.0,0.0,0.0,Arkyidae,Arkys,sp. (OTU0789),2337315.0,,Unknown,Unknown,2017-10-31,Australia,,0.226,0.074,9.59,1.49,1.51,0.13,25.4,5.8,,,,,45.1,8.0,0.55,0.04,,,
252,6784-W1_S5,6784.0,DRR297018,eburnus,Plebs,Araneidae,8.982086016589305,13.03829029087207,0.0,9.596927690430793,0.0,9.608164246351862,0.0,3.586439304774479,7.7114673740392625,6.77196742748612,7.145188323120806,0.0,0.0,Araneidae,Plebs,eburnus,2115801.0,urn:lsid:nmbe.ch:spidersp:014852,Unknown,Female,2017-10-31,Australia,6.0,0.112,0.066,7.93,1.01,1.17,0.32,17.4,7.6,203.0,271.0,298.0,26.0,66.8,8.3,0.37,0.02,13.0,,
253,6786-W1_S9,6786.0,DRR297789,-,Cyclosa,Araneidae,9.680862893178954,10.288220234221955,0.0,9.674202863174399,7.36717944498832,7.883248120802965,7.331167759784824,6.703103468902486,11.621369673564987,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,sp. (OTU0457),2337387.0,,Unknown,Female,2017-10-31,Australia,7.0,0.054,0.018,8.38,1.49,1.0,0.17,10.8,3.1,194.0,237.0,273.0,17.0,59.7,12.1,0.37,0.04,12.2,,
257,6796-W1_S7,6796.0,DRR297688,keyserlingi,Argiope,Araneidae,7.358702095375434,10.168286249018095,7.0827134452630665,9.21634815298517,7.72563960268359,8.582138217283244,0.0,5.545959105194722,0.0,0.0,0.0,0.0,0.0,Araneidae,Argiope,keyserlingi,332532.0,urn:lsid:nmbe.ch:spidersp:015377,Unknown,Female,2017-10-31,Australia,9.0,0.202,0.046,11.6,1.08,1.59,0.05,19.9,4.6,214.0,277.0,299.0,22.0,42.3,3.9,0.66,0.03,9.8,33.4,5.4
258,6816-W1_S16,6816.0,DRR297225,pustulosa,Eriophora,Araneidae,8.029693924044942,11.488202515644007,5.490563712749361,10.177581489482039,6.344952916979612,9.334067650290619,8.250783735633531,5.404167421637106,7.994528812654928,0.0,6.93912076994212,0.0,0.0,Araneidae,Eriophora,pustulosa,693724.0,urn:lsid:nmbe.ch:spidersp:015885,Unknown,Female,2017-11-04,Australia,6.0,0.141,0.04,7.61,0.39,1.27,0.21,23.5,0.2,216.0,279.0,297.0,27.0,35.0,4.1,0.82,0.05,6.9,,
259,6821-W1_S17,6821.0,DRR297668,-,-,Araneidae,9.651433865021009,10.393388730499447,7.52408765988127,8.140962661272605,4.224748787096111,9.02410355133316,9.182384271885885,4.609364927996467,9.875684854830213,8.014784868241309,0.0,6.224740106445853,9.496891716274352,Araneidae,Gen.,sp. (OTU0726),2337815.0,,Unknown,Female,2017-11-04,Australia,7.0,0.125,0.068,14.5,5.81,2.27,0.75,13.0,2.7,,,,,44.1,6.6,0.55,0.03,,,
261,6838-W1_S23,6838.0,DRR297178,-,Cryptaranea,Araneidae,8.8765187309014,8.882758552038116,7.4165834820617675,10.17725756831433,5.794494107689222,8.007234753300601,6.781509221445439,4.156331891276723,0.0,7.333505133492718,0.0,0.0,0.0,Araneidae,Cryptaranea,sp. (OTU0455),2337743.0,,Unknown,Female,2017-11-05,Australia,,0.106,0.023,8.73,2.12,1.09,0.13,18.7,3.8,197.0,268.0,293.0,27.0,32.9,7.1,2.13,0.07,18.4,,
262,6843-W1_S24,6843.0,DRR296877,pustulosa,Eriophora,Araneidae,8.353950848749188,11.168818962223463,0.0,0.0,4.602567931022459,9.768811231463031,8.197103632509867,5.038616156118366,7.688977593829546,1.6144554362738315,6.114600236246889,0.0,0.0,Araneidae,Eriophora,pustulosa,693724.0,urn:lsid:nmbe.ch:spidersp:015885,Unknown,Female,2017-11-05,Australia,,0.165,0.052,15.3,2.12,1.41,0.19,18.1,3.7,212.0,279.0,300.0,21.0,58.4,9.5,0.57,0.03,10.0,4.2,1.5
265,6849-W1_S4,6849.0,DRR297520,-,Plebs,Araneidae,8.184468004170368,11.141558084647155,0.0,9.415543199231813,8.244235663872715,8.001779728490758,8.472227802989044,6.144927384856724,0.0,8.435157674608883,7.880873660799026,0.0,0.0,Araneidae,Plebs,sp. (OTU0517),2337612.0,,Unknown,Female,2017-11-05,Australia,8.0,0.142,0.05,8.65,2.09,1.6,0.13,18.9,5.6,,,,,59.7,5.1,0.41,0.02,,,
267,6965-W1_S21,6965.0,DRR297792,pygmaea,Hypsosinga,Araneidae,8.883625703455717,9.208286065164433,3.176033885530334,8.5802359515936,5.806275743312524,7.306417191321501,0.0,6.019181489761728,7.565025894432488,0.0,0.0,3.626949538492175,0.0,Araneidae,Hypsosinga,pygmaea,336661.0,urn:lsid:nmbe.ch:spidersp:016190,Unknown,Female,2017-12-08,Japan,3.0,0.118,0.019,10.9,4.11,1.45,0.07,18.2,4.4,,,,,46.1,6.7,0.45,0.04,,,
268,7298-W1_S3,7298.0,DRR168614,darwini,Caerostris,Araneidae,9.334932862971822,0.0,0.0,9.19701022793939,0.0,9.427298176136963,0.0,0.0,9.085958365733568,0.0,0.0,0.0,0.0,Araneidae,Caerostris,darwini,1538125.0,urn:lsid:nmbe.ch:spidersp:043500,Unknown,Female,2018-10-25,Madagascar,15.0,0.217,0.084,8.21,1.02,1.15,0.23,30.5,6.2,212.0,275.0,296.0,28.0,38.0,1.6,3.47,0.11,4.8,45.5,3.8
269,7302-W1_S2,7302.0,DRR168615,livida,Nephilingis,Araneidae,13.342276157467632,0.0,0.0,7.9811978704335225,3.334475315516554,9.44004898553539,0.0,0.0,7.550315836106068,0.0,0.0,0.0,0.0,Araneidae,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,25.0,0.25,0.057,13.1,1.6,1.9,0.2,23.7,2.9,236.0,292.0,309.0,30.0,51.9,6.2,3.96,0.19,4.6,27.2,9.0
270,7303-W1_S15,7303.0,DRR168616,livida,Nephilingis,Araneidae,13.770977223895825,0.0,0.0,9.013238915113666,1.9287076231158362,8.901874531565289,0.0,0.0,7.481298941547565,0.0,0.0,0.0,0.0,Araneidae,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,25.0,0.181,0.052,8.78,2.15,1.63,0.17,22.5,5.6,223.0,282.0,303.0,33.0,45.4,6.0,3.86,0.2,4.9,,
271,7304-W1_S14,7304.0,DRR168619,livida,Nephilingis,Araneidae,15.230804053496882,0.0,0.0,6.434036017389296,8.067267627743739,7.332824275323737,0.0,0.0,9.050022751164287,0.0,0.0,0.0,0.0,Araneidae,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,24.0,0.39,0.127,16.9,6.52,2.97,0.17,21.4,6.0,236.0,290.0,307.0,35.0,40.9,11.6,3.37,0.43,5.8,22.1,2.5
272,7305-W1_S12,7305.0,DRR168620,livida,Nephilingis,Araneidae,14.142635959428073,0.0,0.0,9.404471028712331,2.708553658308429,9.347559363458046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Araneidae,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,25.0,0.131,0.049,9.93,2.82,1.55,0.16,15.7,4.2,231.0,289.0,307.0,24.0,52.9,3.7,3.51,0.14,5.3,,
273,7306-W1_S13,7306.0,DRR168621,livida,Nephilingis,Araneidae,15.160350660827966,0.0,0.0,9.282418953983138,5.54885580850468,8.074125402978062,0.0,0.0,8.544790603637766,0.0,0.0,0.0,0.0,Araneidae,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,23.0,0.095,0.032,6.7,0.29,0.53,0.08,25.3,5.1,240.0,290.0,308.0,34.0,50.8,1.9,2.63,0.05,5.6,20.8,4.9
274,7320-W1_S10,7320.0,DRR168629,-,Cyrtophora,Araneidae,6.32906617445069,7.8158992176205295,0.0,8.954891312541479,10.273491412539444,8.486710351239187,0.0,4.589804226967381,0.0,0.0,0.0,0.0,0.0,Araneidae,Cyrtophora,sp. (OTU0410),2511309.0,,Unknown,Female,2018-10-25,Madagascar,8.0,0.303,0.059,9.28,2.01,1.47,0.01,35.6,8.3,,,,33.0,51.8,2.8,1.2,0.03,,,
275,7322-W1_S1,7322.0,DRR168625,-,Cyrtophora,Araneidae,5.282432391343757,8.1620522933554,0.0,8.765792697859963,6.259686590315681,6.154161913255577,0.0,5.581691692668373,0.0,0.0,0.0,0.0,9.908496202859371,Araneidae,Cyrtophora,sp. (OTU0410),2511309.0,,Unknown,Female,2018-10-25,Madagascar,10.0,0.18,0.074,16.1,2.38,1.68,0.1,17.6,6.1,243.0,299.0,319.0,43.0,53.6,4.5,1.73,0.08,4.7,7.8,2.9
276,7324-W1_S11,7324.0,DRR168630,-,Cyrtophora,Araneidae,6.637684285901581,8.248203981354582,0.0,8.381508343392206,5.642246109617393,6.78858131501011,0.0,4.318572092612634,6.814665772931445,0.0,0.0,2.961949240543681,0.0,Araneidae,Cyrtophora,sp. (OTU0410),2511309.0,,Unknown,Female,2018-10-25,Madagascar,10.0,0.165,0.042,16.1,1.7,1.54,0.13,16.9,2.5,239.0,284.0,304.0,42.0,53.8,3.9,1.92,0.08,4.6,6.0,2.3
277,7354-W1_S12,7354.0,DRR168632,-,Gasteracantha,Araneidae,9.044316982294431,8.845065334285103,0.0,9.251167563403575,3.7181248567551637,9.220716891998917,0.0,6.558977937489618,9.560970918439521,0.0,0.0,0.0,0.0,Araneidae,Gasteracantha,sp. (OTU0635),2511311.0,,Unknown,Female,2018-10-25,Madagascar,,0.223,0.058,10.2,1.18,1.3,0.05,26.3,6.8,235.0,284.0,304.0,22.0,42.3,5.4,1.78,0.14,5.8,37.6,4.0
279,7389-W1_S5,7389.0,DRR168643,-,-,Araneidae,6.904449294571213,12.366163795993488,0.0,9.403193148214346,5.440029627759403,7.9782013510180265,5.8125778024026635,2.305416092810839,9.714764107666063,4.481668352326762,4.331219364318292,2.7943098048701978,0.0,Araneidae,Gen.,sp. (OTU0673),2511324.0,,Unknown,Female,2018-10-26,Madagascar,12.0,0.144,0.07,12.9,1.65,1.57,0.25,17.7,5.6,232.0,286.0,305.0,25.0,38.7,2.6,2.25,0.07,6.3,45.0,4.5
280,7392-W1_S21,7392.0,DRR168645,-,-,Araneidae,7.1927890260842124,11.378144346027776,0.0,8.348303248953838,5.256714427864553,6.915485048044023,8.476446497209476,2.759567060478857,7.775215193226758,4.482197116774027,4.075190314155219,2.4721498033112064,0.0,Araneidae,Gen.,sp. (OTU0673),2511324.0,,Unknown,Female,2018-10-26,Madagascar,13.0,0.176,0.035,11.1,1.41,1.64,0.23,21.5,1.1,,,,,40.2,2.7,1.47,0.03,,,
282,7416-W1_S13,7416.0,DRR168635,-,Cyrtophora,Araneidae,6.608138026419525,7.796946095953724,0.0,7.198199455437488,8.945315070830887,9.493645332721158,0.0,7.077033758791689,0.0,0.0,0.0,5.04278352275221,8.272261191707868,Araneidae,Cyrtophora,sp. (OTU0804),2511314.0,,Unknown,Female,2018-10-27,Madagascar,15.0,0.142,0.049,14.0,2.25,1.63,0.05,16.5,6.1,222.0,293.0,317.0,28.0,54.3,2.7,2.49,0.06,3.6,,
283,7421-W1_S15,7421.0,DRR168623,extrusa,Caerostris,Araneidae,8.353578025395336,0.0,0.0,9.024607799322212,7.688424471257994,8.508705945337011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Araneidae,Caerostris,extrusa,172846.0,urn:lsid:nmbe.ch:spidersp:015477,Unknown,Female,2018-10-27,Madagascar,8.0,0.172,0.076,8.91,1.29,1.31,0.19,23.5,5.5,,,,23.0,45.3,2.1,1.45,0.04,,35.2,11.1
284,7426-W1_S6,7426.0,DRR168628,-,Acrosomoides,Araneidae,7.51721710222124,3.4968739050898665,0.0,8.732984806074473,9.228273970295538,5.8083438596314965,0.0,4.367161356361019,9.745057454714322,9.410103621156104,0.0,0.0,0.0,Araneidae,Acrosomoides,sp. (OTU0988),2511307.0,,Unknown,Female,2018-10-27,Madagascar,6.0,0.146,0.041,9.02,0.88,1.02,0.13,26.1,5.2,,,,25.0,33.6,2.0,2.23,0.04,,39.3,5.3
285,7439-W1_S16,7439.0,DRR168624,darwini,Caerostris,Araneidae,6.577222455011457,8.58587892207118,0.0,9.51352824948683,7.287204461496234,10.611965378699502,0.0,0.0,9.200928022479372,0.0,0.0,0.0,0.0,Araneidae,Caerostris,darwini,1538125.0,urn:lsid:nmbe.ch:spidersp:043500,Unknown,Female,2018-10-29,Madagascar,12.0,0.229,0.033,11.7,1.25,1.46,0.1,25.2,3.4,199.0,268.0,290.0,31.0,42.5,1.2,3.44,0.03,7.1,43.9,4.4
286,7441-W1_S4,7441.0,DRR168617,inaurata,Trichonephila,Araneidae,14.593428925342009,0.0,0.0,9.222002712232854,0.0,9.744583277792866,0.0,0.0,6.273558782014269,0.0,0.0,0.0,0.0,Araneidae,Trichonephila,inaurata,222470.0,urn:lsid:nmbe.ch:spidersp:013953,Unknown,Female,2018-10-29,Madagascar,38.0,0.166,0.022,11.1,2.15,1.35,0.18,21.1,1.3,235.0,285.0,304.0,24.0,47.5,9.7,6.69,0.63,5.8,43.3,3.6
